Metadata_Well,Metadata_WellRow,Metadata_WellColumn,Metadata_Field,TimepointName,Replicate,Time,PassageNumber,Staining,Drug
A02,1,2,1,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,2,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,3,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,4,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,5,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,6,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,7,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,8,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,9,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,10,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,11,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,12,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,13,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,14,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,15,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,16,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,17,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,18,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,19,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,20,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,21,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,22,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,23,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,24,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,25,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,26,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,27,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,28,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
A02,1,2,29,R2 T5,2,5,21,Phalloidin-647 + ConA-594 ,False
